Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
3-00964-7502,255 1 STREET,PARK SLOPE,R4-CONDOMINIUM,32,2008,40038,793153,349532,443621,3196999,2012
3-00966-7501,190 GARFIELD PLACE,PARK SLOPE,R2-CONDOMINIUM,40,1930,36669,868322,221114,647208,4752002,2012
3-00969-7503,309 2 STREET,PARK SLOPE,R4-CONDOMINIUM,11,2008,23222,409868,238490,171378,1203000,2012
3-00974-7501,330 2 STREET,PARK SLOPE,R4-CONDOMINIUM,36,,48738,1154116,293890,860226,6408998,2012
3-00974-7502,306 2 STREET,PARK SLOPE,R2-CONDOMINIUM,46,2004,94982,2027866,738010,1289856,9438004,2012
3-00974-7503,354 2 STREET,PARK SLOPE,R4-CONDOMINIUM,30,2004,30802,724463,194361,530102,3947003,2012
3-00974-7504,302 2 STREET,PARK SLOPE,R4-CONDOMINIUM,68,,54122,1155505,420528,734977,5378003,2012
3-00981-7501,343 4 AVENUE,PARK SLOPE,R4-CONDOMINIUM,113,2006,115310,2614078,683788,1930290,14279001,2012
3-00983-7501,443 4 STREET,PARK SLOPE,R2-CONDOMINIUM,2,,2050,54797,15027,39770,300000,2012
3-00992-7501,251 7 STREET,GOWANUS,R4-CONDOMINIUM,60,2009,51102,912682,133376,779306,5485000,2012
3-00998-7503,267 8 STREET,PARK SLOPE,R2-CONDOMINIUM,16,2004,21599,450771,202815,247956,1806998,2012
3-01005-7501,300 8 STREET,PARK SLOPE,R4-CONDOMINIUM,19,1914,15637,279277,40813,238464,1303495,2012
3-01005-7502,357 9 STREET,PARK SLOPE,R4-CONDOMINIUM,131,1920,37880,764040,326147,437893,3169000,2012
3-01023-7501,340 11 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,12,1991,21200,374180,217724,156456,1097999,2012
3-01027-7501,500 4 AVENUE,GOWANUS,R4-CONDOMINIUM,156,2010,129620,2290385,725872,1564513,10982998,2012
3-01027-7502,187 13 STREET,GOWANUS,R2-CONDOMINIUM,14,2007,11472,340758,129921,210837,1460000,2012
3-01035-7502,515 5 AVENUE,PARK SLOPE SOUTH,R4-CONDOMINIUM,15,,17208,336244,128200,208044,1496002,2012
3-01040-7501,105 15 STREET,GOWANUS,R4-CONDOMINIUM,7,2005,6570,115961,67474,48487,340001,2012
3-01041-7501,544 5 AVENUE,PARK SLOPE SOUTH,R2-CONDOMINIUM,18,1925,19844,416922,165499,251423,1833998,2012
3-01042-7501,231 15 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,16,1931,22618,403957,59033,344924,2286898,2012
3-01042-7501,231 15 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,8,1931,8416,150310,21966,128344,853599,2012
3-01047-7502,556 5 AVENUE,PARK SLOPE SOUTH,R4-CONDOMINIUM,8,2007,6625,104543,34583,69960,476001,2012
3-01048-7501,249 16 STREET,PARK SLOPE SOUTH,R2-CONDOMINIUM,16,2003,19350,434795,178601,256194,1893001,2012
3-01048-7504,226 15 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,22,2008,21480,456020,209645,246375,1802000,2012
3-01049-7501,315 16 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,20,2008,25216,445062,258968,186094,1306001,2012
3-01052-7501,162 16 STREET,PARK SLOPE SOUTH,R4-CONDOMINIUM,45,2005,54488,973156,142214,830942,5848001,2012
3-01053-7501,279 PROSPECT AVENUE,PARK SLOPE SOUTH,R4-CONDOMINIUM,20,2003,27584,435276,143988,291288,1983999,2012
3-01053-7503,198 16 STREET,PARK SLOPE SOUTH,R2-CONDOMINIUM,32,1926,14213,319366,131186,188180,1390001,2012
3-01058-7501,180 STERLING PLACE,PARK SLOPE,R2-CONDOMINIUM,16,1915,11732,253646,103946,149700,1098000,2012
3-01064-7501,937 UNION STREET,PARK SLOPE,R4-CONDOMINIUM,22,2003,49210,997487,537373,460114,3332999,2012
3-01082-7502,420 8 AVENUE,PARK SLOPE,R2-CONDOMINIUM,32,1920,26579,694876,222126,472750,1568774,2012
3-01089-7501,570 7 STREET,PARK SLOPE,R2-CONDOMINIUM,15,1900,10911,253026,96126,156900,1164996,2012
3-01093-7501,145 PROSPECT PARK WEST,PARK SLOPE,R2-CONDOMINIUM,27,2002,23280,568963,234895,334068,2502001,2012
3-01096-7501,369 7 AVENUE,PARK SLOPE,R2-CONDOMINIUM,10,,6516,122110,38770,83340,594000,2012
3-01097-7501,632 11 STREET,PARK SLOPE,R2-CONDOMINIUM,18,1921,13352,309633,117631,192002,1425999,2012
3-01097-7502,163 PROSPECT PARK WEST,PARK SLOPE,R2-CONDOMINIUM,42,1999,27200,452336,211072,241264,1667003,2012
3-01098-7509,438 12 STREET,PARK SLOPE,R4-CONDOMINIUM,34,1920,56518,902592,337412,565180,3861997,2012
3-01098-7510,444 12 STREET,PARK SLOPE,R4-CONDOMINIUM,37,1920,58100,1062068,427035,635033,3787515,2012
3-01100-7501,425 14 STREET,PARK SLOPE,R2-CONDOMINIUM,29,1910,23868,583334,240828,342506,2566011,2012
3-01102-7503,427 7 AVENUE,PARK SLOPE,R9-CONDOMINIUM,1,1931,4500,80370,11745,68625,483000,2012
3-01102-7505,392 14 STREET,PARK SLOPE,R4-CONDOMINIUM,24,2001,13057,230456,134095,96361,675999,2012
3-01103-7501,1405 8 AVENUE,PARK SLOPE,R2-CONDOMINIUM,15,,11800,290516,110330,180186,1351000,2012
3-01104-7503,441 7 AVENUE,PARK SLOPE SOUTH,R2-CONDOMINIUM,11,,7770,190909,61538,129371,969999,2012
3-01104-7504,372 15 STREET,PARK SLOPE SOUTH,R2-CONDOMINIUM,30,2004,34417,672508,256407,416101,2990999,2012
3-01104-7505,359 16 STREET,PARK SLOPE SOUTH,R2-CONDOMINIUM,12,2006,13550,282382,115853,166529,1213002,2012
3-01112-7502,1638 8 AVENUE,PARK SLOPE SOUTH,R4-CONDOMINIUM,27,2007,30456,480596,158980,321616,3030072,2012
3-01124-7501,579 WASHINGTON AVENUE,CROWN HEIGHTS,R4-CONDOMINIUM,16,,14269,295654,135270,160384,1065895,2012
3-01124-7502,925 PACIFIC STREET,CROWN HEIGHTS,R4-CONDOMINIUM,15,2005,19789,347099,91821,255278,1789000,2012
3-01124-7503,935 PACIFIC STREET,CROWN HEIGHTS,R4-CONDOMINIUM,10,2008,10313,181715,85392,96323,676002,2012
3-01124-7504,957 PACIFIC STREET,CROWN HEIGHTS,R4-CONDOMINIUM,18,2006,27168,476527,126060,350467,2454996,2012
3-01128-7501,700 PACIFIC STREET,PROSPECT HEIGHTS,R4-CONDOMINIUM,168,2002,230680,3264122,1750861,1513261,9292665,2012
3-01131-7501,35 UNDERHILL AVENUE,PROSPECT HEIGHTS,R4-CONDOMINIUM,39,2005,72356,1224987,303172,921815,6399999,2012
3-01137-7501,618 DEAN STREET,PROSPECT HEIGHTS,R2-CONDOMINIUM,21,1930,33120,645840,232502,413338,2509113,2012
3-01140-7503,802 DEAN STREET,CROWN HEIGHTS,R4-CONDOMINIUM,9,2010,11395,230977,124433,106544,771997,2012
3-01145-7502,662 BERGEN STREET,PROSPECT HEIGHTS,R2-CONDOMINIUM,24,2007,25671,500585,180210,320375,2301994,2012
3-01147-7501,649 WASHINGTON AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,16,2007,33710,657345,236644,420701,1371008,2012
3-01149-7501,892 BERGEN STREET,CROWN HEIGHTS,R4-CONDOMINIUM,65,2009,36200,696850,254848,442002,4533395,2012
3-01152-7504,238 ST MARK'S AVENUE,PROSPECT HEIGHTS,R4-CONDOMINIUM,20,2008,15992,471069,193222,277847,1770000,2012
3-01153-7501,324 ST MARK'S AVENUE,PROSPECT HEIGHTS,R4-CONDOMINIUM,8,2006,8882,181992,88642,93350,1138671,2012
3-01154-7501,364 ST MARK'S AVENUE,CROWN HEIGHTS,R4-CONDOMINIUM,18,2005,17209,352612,171746,180866,1312997,2012
3-01155-7502,442 ST MARK'S AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,12,1931,10784,234444,103850,130594,707996,2012
3-01157-7501,130 PROSPECT PLACE,PROSPECT HEIGHTS,R9-CONDOMINIUM,12,1920,11680,260230,106638,153592,1120000,2012
3-01159-7501,647 VANDERBILT AVENUE,PROSPECT HEIGHTS,R9-CONDOMINIUM,1,1920,9212,205243,84106,121137,905000,2012
3-01160-7501,330 PROSPECT PLACE,PROSPECT HEIGHTS,R4-CONDOMINIUM,51,1931,40755,877455,362312,515143,3344991,2012
3-01164-7502,222 PARK PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,14,,24639,548957,224954,324003,2389999,2012
3-01167-7501,475 STERLING PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,45,2006,50018,848305,259093,589212,4092997,2012
3-01169-7502,399 FLATBUSH AVENUE,PROSPECT HEIGHTS,R2-CONDOMINIUM,3,1910,1613,41922,14920,27002,204000,2012
3-01171-7501,44 BUTLER PLACE,PROSPECT HEIGHTS,R4-CONDOMINIUM,60,1925,67038,1136964,347257,789707,2518996,2012
3-01171-7502,34 BUTLER PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,48,2005,32139,694845,284752,410093,3007997,2012
3-01171-7503,20 BUTLER PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,48,1916,43424,726049,183249,542800,3245014,2012
3-01172-7501,286 ST JOHNS PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1912,11174,241582,99002,142580,1046002,2012
3-01172-7502,1 GRAND ARMY PLAZA,PROSPECT HEIGHTS,R4-CONDOMINIUM,99,2006,162986,2734905,961617,1773288,12281998,2012
3-01173-7501,806 WASHINGTON AVENUE,PROSPECT HEIGHTS,R9-CONDOMINIUM,14,1910,8392,195114,53709,141405,933900,2012
3-01173-7502,427 ST JOHN'S PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1912,16104,358797,147030,211767,1562000,2012
3-01173-7503,355 ST JOHN'S PLACE,PROSPECT HEIGHTS,R2-CONDOMINIUM,16,1909,13385,289384,118591,170793,1253000,2012
3-01178-7501,524 ST JOHN'S PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,13,2007,10809,161811,60963,100848,676002,2012
3-01178-7502,823 CLASSON AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,24,1925,20471,434599,199797,234802,1816333,2012
3-01181-7501,255 EASTERN PARKWAY,CROWN HEIGHTS,R4-CONDOMINIUM,90,1924,100770,1255594,529043,726551,3663015,2012
3-01181-7502,225 EASTERN PARKWAY,CROWN HEIGHTS,R4-CONDOMINIUM,56,2006,79075,1341112,409609,931503,3916004,2012
3-01201-7501,1311 PACIFIC STREET,CROWN HEIGHTS,R4-CONDOMINIUM,32,2010,28344,428278,187921,240357,1615004,2012
3-01206-7501,1206 PACIFIC STREET,CROWN HEIGHTS,R2-CONDOMINIUM,32,1915,30455,442816,206180,236636,1474000,2012
3-01219-7501,1062 BERGEN STREET,CROWN HEIGHTS,R2-CONDOMINIUM,16,1900,13680,161014,82354,78660,485000,2012
3-01223-7501,943 ST MARK'S AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,19,2009,14940,266530,114440,152090,1414446,2012
3-01226-7501,715 PROSPECT PLACE,CROWN HEIGHTS,R2-CONDOMINIUM,16,2006,17827,324986,146360,178626,2474628,2012
3-01231-7501,1448 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,9,1900,7867,128861,54597,74264,511003,2012
3-01232-7501,1443 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,14,1989,15495,282474,119931,162543,678706,2012
3-01233-7501,765 PARK PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,9,2007,9370,196957,58094,138863,1013000,2012
3-01241-7501,910 PARK PLACE,CROWN HEIGHTS,R4-CONDOMINIUM,23,,19247,248671,123373,125298,800003,2012
3-01245-7501,1492 BEDFORD AVENUE,CROWN HEIGHTS,R2-CONDOMINIUM,24,1910,25165,452215,187983,264232,1782021,2012
