Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
1-00016-7521,212 WARREN STREET,TRIBECA,R4-ELEVATOR,191,2000,334154,15427890,4621350,10806540,86473008,2016
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONDOMINIUM,156,2000,142626,5352501,1210670,4141831,31581000,2014
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONDOMINIUM,156,2000,142626,6298364,2364739,3933625,31451000,2015
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONRENT,156,2000,142626,6593600,2119422,4474178,35800000,2016
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONRENT,156,2000,142626,6779014,2234949,4544065,36350000,2017
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2456672,688494,1768178,13349997,2012
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,2515180,719789,1795391,13672000,2013
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2426737,738158,1688579,12874999,2014
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2370950,642912,1728038,13720000,2015
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,3081895,952462,2129433,17038002,2016
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,3019305,936134,2083171,16663001,2017
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,497974,159396,338578,2556003,2012
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,505198,159553,345645,2632001,2013
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,510694,165363,345331,2633001,2014
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,587801,200697,387104,3097998,2016
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,661138,207921,453217,3625001,2017
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4  -ELEVATOR,16,2000,15704,633342,191118,442224,3559001,2018
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4  -ELEVATOR,16,2000,15704,749866,258174,491692,3992999,2019
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2038892,591335,1447557,10928998,2012
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2089158,580604,1508554,11485004,2013
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2010243,576445,1433798,10933006,2014
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2047364,570438,1476926,11745997,2015
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2320157,663063,1657094,13260002,2016
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2433680,793530,1640150,13120002,2017
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4  -ELEVATOR,63,2000,56479,2598034,633130,1964904,15815001,2018
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2612643,518705,2093938,15809001,2012
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,2634309,525715,2108594,16057002,2013
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2548747,427332,2121415,16174996,2014
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2565488,363858,2201630,17578003,2015
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,3212276,660170,2552106,20422002,2016
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,3120515,556939,2563576,20507000,2017
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4  -ELEVATOR,37,2000,63723,3247961,699679,2548282,20510998,2018
1-01051-7501,420 WEST 42 STREET,CLINTON,RR-CONDOMINIUM,262,2000,245000,7943596,2943824,4999772,38683000,2012
1-01051-7501,420 WEST 42 STREET,CLINTON,RR  -CONRENT,262,2000,257663,10855342,4454993,6400349,51516000,2018
1-01051-7501,420 WEST 42 STREET,CLINTON,RR  -CONRENT,262,2000,257663,11326865,4029849,7297016,59263000,2019
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,422,2000,602694,25518064,6063102,19454962,146884998,2012
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-ELEVATOR,421,2000,602694,26084596,6201721,19882875,151423027,2013
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,421,2000,602694,28724396,7352867,21371529,162955005,2014
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-CONDOMINIUM,418,2000,602694,28091567,5954617,22136950,177095983,2015
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-ELEVATOR,418,2000,602694,32563557,9154922,23408635,187313990,2016
1-01171-7502,220 RIVERSIDE BOULEVARD,UPPER WEST SIDE (59-79),R4-ELEVATOR,416,2000,602694,34341504,6569365,27772139,222158985,2017
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-CONDOMINIUM,40,2000,54638,2059306,477536,1581770,11942004,2012
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-ELEVATOR,40,2000,54638,2041276,443661,1597615,12166001,2013
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-CONDOMINIUM,40,2000,54638,2125965,472619,1653346,12606994,2014
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-CONDOMINIUM,40,2000,54638,2590934,915187,1675747,13408006,2015
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-ELEVATOR,40,2000,54638,2593119,681336,1911783,15297998,2016
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4-ELEVATOR,40,2000,54638,2713869,703191,2010678,16083997,2017
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4  -ELEVATOR,40,2000,54638,2595851,567142,2028709,16328990,2018
1-01329-7501,231 EAST 55 STREET,MIDTOWN EAST,R4  -ELEVATOR,40,2000,54638,2769600,579709,2189891,17784999,2019
1-01340-7501,845 UNITED NATIONS PLAZA,MIDTOWN EAST,R4-CONDOMINIUM,366,2000,825532,36546302,9865107,26681195,201443998,2012
1-01340-7501,845 UNITED NATIONS PLAZA,MIDTOWN EAST,R4-ELEVATOR,365,2000,825532,36595834,9865107,26730727,203562002,2013
1-01340-7501,845 UNITED NATIONS PLAZA,MIDTOWN EAST,R4-CONDOMINIUM,364,2000,825532,38593621,11351065,27242556,217939990,2015
1-01340-7501,845 UNITED NATIONS PLAZA,MIDTOWN EAST,R4-ELEVATOR,364,2000,825532,44075153,14298214,29776939,238273008,2016
1-01340-7501,845 UNITED NATIONS PLAZA,MIDTOWN EAST,R4-ELEVATOR,364,2000,825532,41738898,10731916,31006982,248035996,2017
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-CONDOMINIUM,64,2000,158085,6377149,1908086,4469063,33742001,2012
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-ELEVATOR,64,2000,158085,6383472,1889116,4494356,34235996,2013
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-CONDOMINIUM,64,2000,158085,6155079,1765078,4390001,33472995,2014
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-CONDOMINIUM,64,2000,158085,7014231,2696930,4317301,34525003,2015
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-ELEVATOR,64,2000,158085,7486906,2606822,4880084,39050004,2016
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4-ELEVATOR,64,2000,158085,7483744,2292233,5191511,41529002,2017
1-01344-7502,351 EAST 51 STREET,MIDTOWN EAST,R4  -ELEVATOR,64,2000,158085,8242552,2801266,5441286,43797006,2018
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,93,2000,180846,8600000,2300000,6300000,47565003,2012
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,93,2000,180846,8743904,2334722,6409182,48805002,2013
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,93,2000,180846,8754573,2321632,6432941,49050003,2014
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,93,2000,180846,9494415,3247994,6246421,49963002,2015
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,93,2000,180846,10796506,3499370,7297136,58391000,2016
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,93,2000,180846,10552364,3244377,7307987,58458999,2017
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,93,2000,180846,10644596,3199166,7445430,59928003,2018
1-01400-7501,181 EAST 65 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,93,2000,180846,11006288,2575247,8431041,68472999,2019
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,71,2000,165787,7700000,2321018,5378982,42271004,2012
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,71,2000,165787,7830120,2287861,5542259,42215000,2013
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,71,2000,165787,7216422,2180462,5035960,38397999,2014
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,71,2000,165787,6747531,1634660,5112871,40829998,2015
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,71,2000,165787,8974050,3151611,5822439,46591001,2016
1-01412-7502,188 EAST 78 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,71,2000,165787,8251219,2132021,6119198,49252999,2018
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,86,2000,187530,7917517,2762317,5155200,38922003,2012
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,86,2000,187530,7940020,2651674,5288346,40267001,2013
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,86,2000,187530,8048788,2809199,5239589,39951000,2014
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-CONDOMINIUM,86,2000,187530,7632471,2374130,5258341,41987999,2015
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,86,2000,187530,9130836,3354912,5775924,46217999,2016
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,86,2000,187530,9202097,3313655,5888442,47103997,2017
1-01451-7501,300 EAST 77 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,86,2000,187530,9012692,3274274,5738418,46187994,2018
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-CONDOMINIUM,154,2000,181821,6980108,1525478,5454630,41182994,2012
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,154,2000,181821,7012836,1565479,5447357,41480997,2013
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-CONDOMINIUM,154,2000,181821,7496480,1918212,5578268,42532999,2014
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-CONDOMINIUM,154,2000,181821,7921941,2512766,5409175,43245007,2015
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,154,2000,181821,8205582,2360037,5845545,46775996,2016
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,154,2000,181821,8769227,2390946,6378281,51022009,2017
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,154,2000,181821,8554678,2154579,6400099,51513992,2018
1-01554-7501,1760 2 AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,154,2000,181821,9332872,2438220,6894652,55994996,2019
1-01600-7501,130 LENOX AVENUE,HARLEM-CENTRAL,R9-CONDOPS,240,2000,312016,6071831,2564772,3507059,25398000,2013
1-01600-7501,130 LENOX AVENUE,HARLEM-CENTRAL,R9-CONDOMINIUM,240,2000,312016,7260612,3575703,3684909,28116000,2015
1-01600-7501,130 LENOX AVENUE,HARLEM-CENTRAL,R9-CONDOPS,242,2000,312016,7372938,3578824,3794114,30010000,2016
1-01600-7501,130 LENOX AVENUE,HARLEM-CENTRAL,R9-CONDOPS,242,2000,312016,8493076,4168534,4324542,34594000,2017
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-CONDOMINIUM,15,2000,12624,178630,79657,98973,652000,2012
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,243769,72083,171686,977998,2013
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-CONDOMINIUM,15,2000,12624,250839,77259,173580,1263999,2014
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,266998,86222,180776,1362000,2015
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,281894,92534,189360,1486001,2016
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,266745,80036,186709,1460000,2017
2-05529-7501,24 PENNYFIELD AVENUE,THROGS NECK,R2  -WALK-UP,15,2000,12624,281515,70442,211073,1649002,2019
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4-CONDOMINIUM,20,2000,24122,492571,233260,259311,1881000,2012
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4-ELEVATOR,20,2000,24122,484370,216857,267513,1950000,2013
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4-CONDOMINIUM,20,2000,24122,480346,221097,259249,1889002,2014
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4-ELEVATOR,20,2000,24122,564214,236637,327577,2591003,2016
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4-ELEVATOR,20,2000,24122,622106,262689,359417,2875005,2017
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4  -ELEVATOR,20,2000,24122,665526,253040,412486,3320006,2018
3-00336-7502,156 SACKETT STREET,COBBLE HILL-WEST,R4  -ELEVATOR,20,2000,24122,718112,281263,436849,3548006,2019
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4-CONDOMINIUM,6,2000,6652,112618,60400,52218,362998,2012
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4-ELEVATOR,6,2000,6652,120933,67318,53615,382000,2013
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4-CONDOMINIUM,6,2000,6652,132907,79358,53549,390000,2014
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4-ELEVATOR,6,2000,6652,140889,77496,63393,493000,2016
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4-ELEVATOR,6,2000,6652,166367,103173,63194,506000,2017
3-00403-7504,209 SMITH STREET,CARROLL GARDENS,R4  -ELEVATOR,6,2000,6652,186323,111687,74636,601000,2018
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4-CONDOMINIUM,26,2000,33198,780817,209479,571338,4254996,2012
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4-ELEVATOR,26,2000,33198,790112,229398,560714,4216003,2013
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4-CONDOMINIUM,26,2000,33198,796551,228512,568039,4284997,2014
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4-ELEVATOR,26,2000,33198,925892,324012,601880,4816000,2016
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4-ELEVATOR,26,2000,33198,976353,340611,635742,5086009,2017
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4  -ELEVATOR,26,2000,33198,963074,350903,612171,4927003,2018
3-00421-7501,344 DE GRAW STREET,CARROLL GARDENS,R4  -ELEVATOR,26,2000,33198,1013203,322685,690518,5608000,2019
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,1,2000,14647,310663,72503,238160,1741004,2012
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,1,2000,14647,304804,67230,237574,1745002,2013
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,1,2000,14647,327214,110585,216629,1646000,2015
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,1,2000,14647,357680,101797,255883,2037002,2016
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,1,2000,14647,363099,105312,257787,2062002,2017
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4  -ELEVATOR,1,2000,14647,393711,130505,263206,2119000,2018
3-01715-7503,456 FLUSHING AVENUE,BEDFORD STUYVESANT,R4  -ELEVATOR,1,2000,14647,396494,115858,280636,2256998,2019
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2000,14869,315371,73602,241769,1616988,2012
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,12,2000,14869,316858,70182,246676,1819996,2013
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-CONDOMINIUM,12,2000,14869,340649,114045,226604,1728004,2015
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,12,2000,14869,377821,126981,250840,2005998,2016
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4-ELEVATOR,12,2000,14869,380052,121628,258424,2067000,2017
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4  -ELEVATOR,12,2000,14869,395367,137984,257383,2071998,2018
3-01715-7504,460 FLUSHING AVENUE,BEDFORD STUYVESANT,R4  -ELEVATOR,12,2000,14869,405478,133078,272400,2193000,2019
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-CONDOMINIUM,31,2000,60569,943665,334341,609324,4134004,2012
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-WALK-UP,31,2000,60569,933974,336158,597816,4073998,2013
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-CONDOMINIUM,31,2000,60569,976210,337235,638975,4416004,2014
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-CONDOMINIUM,31,2000,60569,1023616,292548,731068,5263007,2015
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-WALK-UP,31,2000,38748,1226762,552159,674603,5398008,2016
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2-WALK-UP,31,2000,45445,1101587,428092,673495,5388005,2017
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2  -WALK-UP,31,2000,45445,1198385,443998,754387,6072007,2018
3-02129-7502,42 BROADWAY,WILLIAMSBURG-SOUTH,R2  -WALK-UP,31,2000,45445,1294728,414458,880270,7127004,2019
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-CONDOMINIUM,19,2000,53792,1140928,266270,874658,5053514,2012
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,2000,53792,1139315,258202,881113,6494006,2013
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,2000,42861,855506,288455,567051,4357001,2016
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4-ELEVATOR,19,2000,42861,866221,287597,578624,4479002,2017
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4  -ELEVATOR,19,2000,42861,800215,232307,567908,4374005,2018
3-02224-7505,23 HEYWARD STREET,WILLIAMSBURG-CENTRAL,R4  -ELEVATOR,19,2000,42861,879079,240022,639057,4911006,2019
3-02250-7501,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4-CONDOMINIUM,32,2000,39000,632190,147420,484770,3326008,2012
3-02250-7501,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,32,2000,39000,658320,226590,431730,3187016,2016
3-02250-7501,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4  -ELEVATOR,32,2000,39000,801450,328770,472680,3721008,2018
3-02250-7501,165 HARRISON AVENUE,WILLIAMSBURG-EAST,R4  -ELEVATOR,32,2000,39000,832260,307710,524550,4062008,2019
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4-CONDOMINIUM,26,2000,40232,652161,152077,500084,3430999,2012
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,26,2000,40232,780098,255071,525027,4008999,2016
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4-ELEVATOR,26,2000,40232,834009,275992,558017,4345001,2017
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4  -ELEVATOR,26,2000,40232,889127,325477,563650,4503998,2018
3-02267-7503,49 THROOP AVENUE,WILLIAMSBURG-EAST,R4  -ELEVATOR,26,2000,40232,939417,319844,619573,4877003,2019
3-05714-7501,880 60 STREET,BOROUGH PARK,R4-CONDOMINIUM,12,2000,9999,162284,46795,115489,793002,2012
3-05714-7501,880 60 STREET,BOROUGH PARK,R4-ELEVATOR,12,2000,16180,161584,43896,117688,1190002,2013
3-05714-7501,880 60 STREET,BOROUGH PARK,R4-ELEVATOR,12,2000,16180,254673,108568,146105,1040000,2016
3-05714-7501,880 60 STREET,BOROUGH PARK,R4-ELEVATOR,12,2000,16180,307905,154034,153871,1144997,2017
3-05714-7501,880 60 STREET,BOROUGH PARK,R4  -ELEVATOR,12,2000,16180,314054,144811,169243,1316000,2018
3-05714-7501,880 60 STREET,BOROUGH PARK,R4  -ELEVATOR,12,2000,16180,325380,141737,183643,1404999,2019
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4-CONDOMINIUM,102,2000,74256,1939567,833152,1106415,8352996,2012
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4-CONDOMINIUM,104,2000,133758,2719147,1434758,1284389,9397991,2014
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4-CONDOMINIUM,104,2000,133758,2812931,1479363,1333568,10027999,2015
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,104,2000,133758,1908727,695542,1213185,8521010,2016
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,104,2000,133758,2867772,1281402,1586370,12449993,2017
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,104,2000,133758,2950701,1329555,1621146,12944005,2018
3-08720-7501,150 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,104,2000,153893,3485676,1443516,2042160,15987997,2019
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4-CONDOMINIUM,50,2000,66185,1573217,354090,1219127,9087998,2012
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4-CONDOMINIUM,50,2000,72043,1712462,385430,1327032,8968998,2012
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,66185,1548067,329601,1218466,9141002,2013
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,72043,1724709,448107,1276602,9616001,2013
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,66185,1722796,550659,1172137,9379003,2016
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,72043,1832774,577064,1255710,10043002,2016
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,66185,1682423,503006,1179417,9435000,2017
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4-ELEVATOR,50,2000,72043,1787387,462516,1324871,10598003,2017
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,50,2000,67114,1734226,561073,1173153,9443002,2018
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,50,2000,72043,1807559,545366,1262193,10159003,2018
3-08720-7502,120 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,50,2000,67114,1788588,510066,1278522,10267003,2019
3-08720-7502,130 OCEANA DRIVE,BRIGHTON BEACH,R4  -ELEVATOR,50,2000,72043,1873838,484849,1388989,11118002,2019
4-05042-7504,133 SANFORD AVENUE,FLUSHING-NORTH,R4-CONDOMINIUM,58,2000,83284,1659850,630743,1029107,7428001,2012
4-05042-7504,133 SANFORD AVENUE,FLUSHING-NORTH,R4-ELEVATOR,58,2000,83284,1647358,623797,1023561,7437003,2013
4-05042-7504,133-47 SANFORD AVENUE,FLUSHING-NORTH,R4-CONDOMINIUM,58,2000,83284,1694455,643701,1050754,7690000,2014
4-05042-7504,133-47 SANFORD AVENUE,FLUSHING-NORTH,R4-CONDOMINIUM,58,2000,83284,1704823,656278,1048545,7860008,2015
4-05042-7504,133-47 SANFORD AVENUE,FLUSHING-NORTH,R4-ELEVATOR,58,2000,83284,1991320,875315,1116005,8927000,2017
4-05042-7504,133-47 SANFORD AVENUE,FLUSHING-NORTH,R4  -ELEVATOR,58,2000,83284,1925526,810353,1115173,8976003,2018
4-05042-7504,133-47 SANFORD AVENUE,FLUSHING-NORTH,R4  -ELEVATOR,58,2000,83284,2047954,832007,1215947,9648003,2019
4-05051-7502,41 PARSONS BOULEVARD,FLUSHING-NORTH,R4-CONDOMINIUM,18,2000,20448,395260,100604,294656,2113002,2012
4-05051-7502,41 PARSONS BOULEVARD,FLUSHING-NORTH,R4-ELEVATOR,18,2000,20448,394646,104080,290566,2100996,2013
4-05051-7502,41-33 PARSONS BOULEVARD,FLUSHING-NORTH,R4-CONDOMINIUM,18,2000,20448,402781,108506,294275,2138994,2014
4-05051-7502,41-33 PARSONS BOULEVARD,FLUSHING-NORTH,R4-CONDOMINIUM,18,2000,20448,429612,111442,318170,2392992,2015
4-05051-7502,41-33 PARSONS BOULEVARD,FLUSHING-NORTH,R4-ELEVATOR,18,2000,20448,489116,153564,335552,2683998,2017
4-05051-7502,41-33 PARSONS BOULEVARD,FLUSHING-NORTH,R4  -ELEVATOR,18,2000,20448,486458,126164,360294,2899998,2018
4-05051-7502,41-33 PARSONS BOULEVARD,FLUSHING-NORTH,R4  -ELEVATOR,18,2000,20448,501385,127596,373789,2966004,2019
1-00132-7503,71 MURRAY STREET,TRIBECA,R4-CONDOMINIUM,11,2001,54500,2453590,741200,1712390,12929000,2012
